================================================================================
PERSON TRACKING LOG (Part-Based)
================================================================================
Video Start Time: 2025-08-17 21:01:28
Format: [TIMESTAMP] FRAME | ID | STATUS | DETAILS
[21:01:28.727] F000012 | ID_002 | Tracked      | IoU: 0.75 at (425,264)-(582,619)
[21:01:28.760] F000013 | ID_001 | Tracked      | IoU: 1.00 at (893,200)-(983,495)
[21:01:28.760] F000013 | ID_002 | Tracked      | IoU: 0.85 at (426,262)-(605,620)
[21:01:28.760] F000013 | ID_005 | New          |  at (591,99)-(633,178)
[21:01:28.760] F000013 | ID_006 | New          |  at (594,46)-(646,121)
[21:01:28.794] F000014 | ID_001 | Tracked      | IoU: 1.00 at (893,200)-(983,495)
[21:01:28.794] F000014 | ID_002 | Tracked      | IoU: 0.97 at (426,262)-(610,620)
[21:01:28.794] F000014 | ID_005 | Tracked      | IoU: 0.99 at (591,98)-(633,178)
[21:01:28.794] F000014 | ID_006 | Tracked      | IoU: 0.98 at (594,46)-(646,120)
[21:01:28.827] F000015 | ID_001 | Tracked      | IoU: 1.00 at (893,200)-(983,495)
[21:01:28.827] F000015 | ID_002 | Tracked      | IoU: 0.88 at (428,262)-(632,622)
[21:01:28.827] F000015 | ID_006 | Tracked      | IoU: 0.74 at (594,38)-(656,121)
[21:01:28.827] F000015 | ID_005 | Lost         |  at (591,98)-(633,178)
[21:01:28.860] F000016 | ID_001 | Tracked      | IoU: 0.99 at (893,201)-(983,495)
[21:01:28.860] F000016 | ID_002 | Tracked      | IoU: 0.96 at (422,261)-(631,621)
[21:01:28.860] F000016 | ID_006 | Tracked      | IoU: 0.64 at (608,37)-(665,128)
[21:01:28.894] F000017 | ID_001 | Tracked      | IoU: 0.98 at (895,203)-(983,496)
[21:01:28.894] F000017 | ID_002 | Tracked      | IoU: 0.97 at (418,260)-(631,622)
[21:01:28.894] F000017 | ID_006 | Lost         |  at (608,37)-(665,128)
[21:01:28.894] F000017 | ID_007 | New          |  at (587,100)-(628,183)
[21:01:28.927] F000018 | ID_001 | Tracked      | IoU: 0.99 at (894,203)-(983,496)
[21:01:28.927] F000018 | ID_002 | Tracked      | IoU: 0.96 at (412,261)-(629,623)
[21:01:28.927] F000018 | ID_007 | Tracked      | IoU: 0.88 at (583,101)-(629,184)
[21:01:28.960] F000019 | ID_001 | Tracked      | IoU: 0.99 at (893,203)-(983,495)
[21:01:28.960] F000019 | ID_002 | Tracked      | IoU: 0.94 at (399,262)-(631,622)
[21:01:28.960] F000019 | ID_007 | Tracked      | IoU: 0.76 at (580,101)-(639,185)
[21:01:28.994] F000020 | ID_001 | Tracked      | IoU: 1.00 at (893,203)-(983,496)
[21:01:28.994] F000020 | ID_002 | Tracked      | IoU: 0.99 at (399,261)-(631,623)
[21:01:28.994] F000020 | ID_007 | Tracked      | IoU: 0.99 at (580,101)-(639,185)
[21:01:28.994] F000020 | ID_008 | New          |  at (630,36)-(682,119)
[21:01:29.027] F000021 | ID_001 | Tracked      | IoU: 1.00 at (893,203)-(983,496)
[21:01:29.027] F000021 | ID_002 | Tracked      | IoU: 0.94 at (387,262)-(629,621)
[21:01:29.027] F000021 | ID_007 | Tracked      | IoU: 0.87 at (577,103)-(637,188)
[21:01:29.027] F000021 | ID_008 | Tracked      | IoU: 0.78 at (636,29)-(686,119)
[21:01:29.060] F000022 | ID_001 | Tracked      | IoU: 1.00 at (893,203)-(983,496)
[21:01:29.060] F000022 | ID_002 | Tracked      | IoU: 0.77 at (384,264)-(577,621)
[21:01:29.060] F000022 | ID_007 | Tracked      | IoU: 0.93 at (575,104)-(636,187)
[21:01:29.060] F000022 | ID_008 | Lost         |  at (636,29)-(686,119)
[21:01:29.060] F000022 | ID_009 | New          |  at (492,320)-(632,553)
[21:01:29.094] F000023 | ID_001 | Tracked      | IoU: 1.00 at (893,204)-(983,496)
[21:01:29.094] F000023 | ID_002 | Tracked      | IoU: 0.97 at (379,263)-(576,621)
[21:01:29.094] F000023 | ID_009 | Tracked      | IoU: 0.98 at (491,320)-(632,552)
[21:01:29.094] F000023 | ID_007 | Lost         |  at (575,104)-(636,187)
[21:01:29.127] F000024 | ID_001 | Tracked      | IoU: 1.00 at (893,204)-(983,495)
[21:01:29.127] F000024 | ID_002 | Tracked      | IoU: 0.98 at (378,263)-(574,624)
[21:01:29.127] F000024 | ID_009 | Tracked      | IoU: 0.93 at (491,329)-(630,550)
[21:01:29.160] F000025 | ID_001 | Tracked      | IoU: 1.00 at (893,204)-(983,496)
[21:01:29.160] F000025 | ID_002 | Tracked      | IoU: 0.97 at (382,264)-(573,624)
[21:01:29.160] F000025 | ID_009 | Tracked      | IoU: 0.97 at (491,332)-(630,547)
[21:01:29.194] F000026 | ID_001 | Tracked      | IoU: 1.00 at (893,204)-(983,495)
[21:01:29.194] F000026 | ID_002 | Tracked      | IoU: 0.99 at (382,264)-(571,625)
[21:01:29.194] F000026 | ID_009 | Tracked      | IoU: 1.00 at (491,332)-(630,547)
[21:01:29.227] F000027 | ID_001 | Tracked      | IoU: 0.99 at (893,205)-(983,496)
[21:01:29.227] F000027 | ID_002 | Tracked      | IoU: 0.97 at (385,265)-(573,624)
[21:01:29.227] F000027 | ID_009 | Tracked      | IoU: 0.94 at (493,326)-(628,549)
[21:01:29.260] F000028 | ID_001 | Tracked      | IoU: 0.99 at (893,205)-(983,495)
[21:01:29.260] F000028 | ID_002 | Tracked      | IoU: 0.92 at (397,269)-(573,625)
[21:01:29.260] F000028 | ID_009 | Tracked      | IoU: 0.91 at (496,334)-(631,551)
[21:01:29.260] F000028 | ID_010 | New          |  at (563,110)-(619,190)
[21:01:29.260] F000028 | ID_011 | New          |  at (670,15)-(716,90)
[21:01:29.294] F000029 | ID_001 | Tracked      | IoU: 1.00 at (892,204)-(983,495)
[21:01:29.294] F000029 | ID_002 | Tracked      | IoU: 0.93 at (399,282)-(569,624)
[21:01:29.294] F000029 | ID_009 | Tracked      | IoU: 0.47 at (428,266)-(628,534)
[21:01:29.294] F000029 | ID_010 | Tracked      | IoU: 0.90 at (561,110)-(616,191)
[21:01:29.294] F000029 | ID_011 | Tracked      | IoU: 0.67 at (677,13)-(722,96)
[21:01:29.327] F000030 | ID_001 | Tracked      | IoU: 1.00 at (892,205)-(983,495)
[21:01:29.327] F000030 | ID_002 | Tracked      | IoU: 0.94 at (408,284)-(570,623)
[21:01:29.327] F000030 | ID_009 | Tracked      | IoU: 0.97 at (424,265)-(629,534)
[21:01:29.327] F000030 | ID_010 | Tracked      | IoU: 0.85 at (560,113)-(612,195)
[21:01:29.327] F000030 | ID_011 | Lost         |  at (677,13)-(722,96)
[21:01:29.360] F000031 | ID_001 | Tracked      | IoU: 0.98 at (893,205)-(983,496)
[21:01:29.360] F000031 | ID_002 | Tracked      | IoU: 0.91 at (421,284)-(570,623)
[21:01:29.360] F000031 | ID_010 | Tracked      | IoU: 0.54 at (559,114)-(607,252)
[21:01:29.360] F000031 | ID_011 | Re-ID        | PartDist: 0.00 at (686,7)-(726,74)
[21:01:29.360] F000031 | ID_009 | Lost         |  at (424,265)-(629,534)
[21:01:29.394] F000032 | ID_001 | Tracked      | IoU: 0.99 at (892,204)-(983,496)
[21:01:29.394] F000032 | ID_002 | Tracked      | IoU: 0.99 at (422,284)-(570,623)
[21:01:29.394] F000032 | ID_010 | Tracked      | IoU: 1.00 at (559,114)-(607,252)
[21:01:29.394] F000032 | ID_011 | Tracked      | IoU: 0.96 at (686,7)-(727,76)
[21:01:29.427] F000033 | ID_001 | Tracked      | IoU: 0.99 at (893,205)-(983,496)
[21:01:29.427] F000033 | ID_002 | Tracked      | IoU: 0.98 at (421,286)-(571,623)
[21:01:29.427] F000033 | ID_010 | Lost         |  at (559,114)-(607,252)
[21:01:29.427] F000033 | ID_011 | Lost         |  at (686,7)-(727,76)
[21:01:29.460] F000034 | ID_001 | Tracked      | IoU: 1.00 at (893,204)-(983,496)
[21:01:29.460] F000034 | ID_002 | Tracked      | IoU: 0.97 at (421,290)-(573,623)
[21:01:29.460] F000034 | ID_010 | Re-ID        | PartDist: 0.00 at (557,115)-(598,263)
[21:01:29.460] F000034 | ID_011 | Re-ID        | PartDist: 0.00 at (503,336)-(630,548)
[21:01:29.460] F000034 | ID_012 | New          |  at (696,3)-(743,82)
[21:01:29.494] F000035 | ID_001 | Tracked      | IoU: 0.99 at (893,206)-(983,496)
[21:01:29.494] F000035 | ID_002 | Tracked      | IoU: 0.96 at (419,293)-(571,623)
[21:01:29.494] F000035 | ID_010 | Tracked      | IoU: 0.87 at (555,117)-(596,258)
[21:01:29.494] F000035 | ID_011 | Tracked      | IoU: 0.96 at (501,331)-(630,547)
[21:01:29.494] F000035 | ID_012 | Lost         |  at (696,3)-(743,82)
[21:01:29.527] F000036 | ID_001 | Tracked      | IoU: 1.00 at (893,205)-(983,496)
[21:01:29.527] F000036 | ID_002 | Tracked      | IoU: 0.93 at (423,291)-(576,621)
[21:01:29.527] F000036 | ID_010 | Tracked      | IoU: 0.87 at (554,116)-(594,247)
[21:01:29.527] F000036 | ID_012 | Re-ID        | PartDist: 0.00 at (704,0)-(748,78)
[21:01:29.527] F000036 | ID_011 | Lost         |  at (501,331)-(630,547)
[21:01:29.560] F000037 | ID_001 | Tracked      | IoU: 0.99 at (894,206)-(983,496)
[21:01:29.560] F000037 | ID_002 | Tracked      | IoU: 0.76 at (418,263)-(602,623)
[21:01:29.560] F000037 | ID_010 | Tracked      | IoU: 0.91 at (552,117)-(595,251)
[21:01:29.560] F000037 | ID_012 | Tracked      | IoU: 0.79 at (708,0)-(750,71)
[21:01:29.594] F000038 | ID_001 | Tracked      | IoU: 0.98 at (893,205)-(983,496)
[21:01:29.594] F000038 | ID_002 | Tracked      | IoU: 0.88 at (418,263)-(580,623)
[21:01:29.594] F000038 | ID_010 | Tracked      | IoU: 1.00 at (552,117)-(595,250)
[21:01:29.594] F000038 | ID_012 | Tracked      | IoU: 1.00 at (708,0)-(750,71)
[21:01:29.627] F000039 | ID_001 | Tracked      | IoU: 1.00 at (893,206)-(983,496)
[21:01:29.627] F000039 | ID_002 | Tracked      | IoU: 0.78 at (418,263)-(624,624)
[21:01:29.627] F000039 | ID_010 | Tracked      | IoU: 0.86 at (550,117)-(594,241)
[21:01:29.627] F000039 | ID_012 | Tracked      | IoU: 0.86 at (711,0)-(753,71)
[21:01:29.660] F000040 | ID_001 | Tracked      | IoU: 1.00 at (893,205)-(983,496)
[21:01:29.660] F000040 | ID_002 | Tracked      | IoU: 0.99 at (418,264)-(624,624)
